0.0273956042 -0.00611215597 0.0358597934 0.0197368022 1.94591015 -1.94591015
0.0272733625 0.188477665 0.0362545289 -0.261419773 1.94591015 -1.94591015
0.0310429148 0.383063853 0.0310261324 -0.542450726 1.94591015 -1.94591015
0.0387041904 0.187519893 0.0201771185 -0.240155742 1.94591015 -1.94591015
0.0424545892 -0.0078843981 0.0153740039 0.0588226952 1.94591015 -1.94591015
0.0422969013 0.18701379 0.0165504571 -0.228970245 1.94591015 -1.94591015
0.0460371785 0.381895363 0.0119710527 -0.516386986 1.94591015 -1.94591015
0.0536750853 0.186606899 0.00164331309 -0.219955862 1.94591015 -1.94591015
0.0574072227 0.381705344 -0.00275580422 -0.512119949 1.94591015 -1.94591015
0.065041326 0.186622307 -0.0129982037 -0.220306754 1.94591015 -1.94591015
0.0687737763 -0.00831146166 -0.0174043383 0.0682478324 1.94591015 -1.94591015
0.0686075464 0.187055632 -0.0160393827 -0.229875043 1.94591015 -1.94591015
0.0723486617 0.382403076 -0.0206368826 -0.527573884 1.94591015 -1.94591015
0.07999672 0.187577471 -0.0311883613 -0.241464525 1.94591015 -1.94591015
0.0837482661 0.383130729 -0.0360176526 -0.543819666 1.94591015 -1.94591015
0.0914108828 0.188532948 -0.0468940437 -0.262699187 1.94591015 -1.94591015
0.0951815397 0.384291798 -0.0521480292 -0.569796503 1.94591015 -1.94591015
0.10286738 0.189938515 -0.0635439605 -0.293987423 1.94591015 -1.94591015
0.106666148 -0.00422264542 -0.0694237053 -0.0220028274 1.94591015 -1.94591015
0.106581695 0.191822693 -0.069863759 -0.33575663 1.94591015 -1.94591015
0.110418148 0.387865752 -0.0765788928 -0.64962709 1.94591015 -1.94591015
0.118175462 0.583966196 -0.0895714387 -0.965407908 1.94591015 -1.94591015
0.129854783 0.780169666 -0.108879596 -1.28483212 1.94591015 -1.94591015
0.145458177 0.586589158 -0.134576231 -1.02812815 1.94591015 -1.94591015
0.157189965 0.78322053 -0.155138806 -1.35985446 1.94591015 -1.94591015
0.172854379 0.97990948 -0.182335883 -1.69677269 1.94591015 -1.94591015
-0.0015633275 0.0348326266 0.0173522271 0.0126240775 1.94591015 -1.94591015
-0.000866674993 -0.160533831 0.0176047087 0.310730934 1.94591015 -1.94591015
-0.00407735165 -0.355902106 0.0238193274 0.608913481 1.94591015 -1.94591015
-0.0111953933 -0.1611211 0.0359975956 0.323827058 1.94591015 -1.94591015
-0.014417816 0.033470273 0.0424741395 0.0427100994 1.94591015 -1.94591015
-0.0137484102 -0.162234187 0.0433283411 0.348485678 1.94591015 -1.94591015
-0.0169930942 0.0322455764 0.0502980538 0.0697743595 1.94591015 -1.94591015
-0.0163481832 -0.163560048 0.0516935401 0.377892762 1.94591015 -1.94591015
-0.0196193829 0.0307910908 0.0592513978 0.1019466 1.94591015 -1.94591015
-0.0190035626 -0.165127754 0.0612903275 0.412718862 1.94591015 -1.94591015
-0.0223061163 -0.361062527 0.0695447028 0.724077284 1.94591015 -1.94591015
-0.029527368 -0.166967779 0.0840262473 0.454068571 1.94591015 -1.94591015
-0.0328667238 -0.363171101 0.0931076258 0.772009909 1.94591015 -1.94591015
-0.0401301458 -0.169445232 0.108547822 0.510013819 1.94591015 -1.94591015
-0.0435190499 0.023993561 0.118748099 0.253413796 1.94591015 -1.94591015
-0.0430391803 -0.172606125 0.123816371 0.581066489 1.94591015 -1.94591015
-0.0464913025 -0.369225591 0.135437697 0.910046935 1.94591015 -1.94591015
-0.0538758114 -0.565894783 0.153638646 1.24204624 1.94591015 -1.94591015
-0.0651937053 -0.373041868 0.178479567 1.0011667 1.94591015 -1.94591015
-0.0726545453 -0.180695549 0.198502898 0.769425213 1.94591015 -1.94591015
-0.0293754693 0.0203187559 0.0188509505 0.018886907 1.94591015 -1.94591015
-0.0289690942 -0.175068393 0.0192286875 0.317457408 1.94591015 -1.94591015
