tick,mu,eps,backsum,back0,back1,theta0,theta1,bias,x_state,x_obs
1,0.354999989,0.245000035,0.100000009,0.061250009,-0.098000012,0.258574992,-0.402449995,0.112250000,0.285500020,0.600000024
2,-0.353384972,0.953384995,-0.050000001,0.246521518,-0.383689791,0.239507288,-0.359547675,0.159919247,0.185161516,0.600000024
