tick,mu,eps,backsum,back0,back1,theta0,theta1,bias,x_state,x_obs
1,0.275000006,0.325000018,0.100000009,0.081250004,-0.130000010,0.261375010,-0.400000006,0.116250001,0.600000024,0.600000024
2,-0.243749976,0.843750000,-0.050000001,0.220535159,-0.337500006,0.261375010,-0.362031251,0.158437505,0.600000024,0.600000024
