tick,mu,eps,backsum,back0,back1,theta0,theta1,bias,x_state,x_obs
1,0.275000006,0.025000006,0.100000009,0.006250001,-0.010000003,0.250874996,-0.400000006,0.101250000,0.307500005,0.600000024
2,-0.258749992,0.566249967,-0.050000001,0.142057955,-0.226499990,0.250874996,-0.374518752,0.129562497,0.245875001,0.600000024
