case,h,layers,shape,max_abs_error,tol,csv,status
deep_scheduler_h8,8,5,1->8->8->8->23,4.96509573e-05,0.0001,runs/rtl_deep_scheduler_sweep/deep_scheduler_h8.csv,pass
deep_scheduler_h16,16,5,1->16->16->16->23,5.59074529e-05,0.0001,runs/rtl_deep_scheduler_sweep/deep_scheduler_h16.csv,pass
