tick,mu,eps,backsum,back0,back1,theta0,theta1,bias,x_state,x_obs
1,0.354999989,-0.054999977,0.100000009,-0.013749994,0.021999991,0.248074993,-0.399450004,0.097250000,0.315500021,0.600000024
2,-0.361485004,0.676985025,-0.050000001,0.167943060,-0.270421684,0.234535292,-0.368985683,0.131099254,0.242801517,0.600000024
