tick,N,M,act_id,clamp_hard,mu,eps,backsum,back0,back_last,theta0,theta_last,bias,x_state,x_i,x_obs,back_in0
1,256,1,1,0,0.098760001,0.201240003,-0.017999999,-0.001609920,-0.001609920,-0.008000000,-0.008000000,0.110062003,0.278076023,0.278076023,0.600000024,-0.017999999
2,256,1,1,0,0.110222004,0.167854011,0.004500000,-0.001342832,-0.001342832,-0.007538402,-0.007622329,0.118454702,0.261740625,0.261740625,0.600000024,0.004500000
