tick,N,M,act_id,clamp_hard,mu,eps,backsum,back0,back_last,theta0,theta_last,bias,x_state,x_i,x_obs,back_in0
1,1,64,0,0,0.100880004,0.199120015,-0.083999999,-0.001592960,-0.001592960,-0.009095160,-0.009095160,0.109956004,0.271688014,0.271688014,0.600000024,-0.017999999
2,1,64,0,0,0.109455772,0.162232250,0.021000000,-0.001475528,-0.001475528,-0.008649021,-0.008649021,0.118067615,0.257564783,0.257564783,0.600000024,0.004500000
