tick,N,M,act_id,clamp_hard,mu,eps,backsum,back0,back_last,theta0,theta_last,bias,x_state,x_i,x_obs,back_in0
1,256,1,0,0,0.098439999,0.201560020,-0.017999999,-0.001612480,-0.001612480,-0.009108581,-0.008907020,0.110078000,0.278044015,0.278044015,0.600000024,-0.017999999
2,256,1,0,0,0.105096407,0.172947615,0.004500000,-0.001575307,-0.001540448,-0.008632975,-0.008517888,0.118725382,0.261199266,0.261199266,0.600000024,0.004500000
