tick,x0_0,x0_1,x0_2,x1_0,x1_1,x1_2,x1_3,x2_0,x2_1,l0_w00,l0_w01,l0_b0,l1_w00,l1_w01,l1_b0,l0_back_0_0
1,0.100000001,-0.300000012,0.200000003,-0.001039923,0.005857927,0.002067950,-0.002023621,0.699999988,-0.200000003,0.012575020,-0.013208487,0.001998522,-0.056283765,-0.102980450,0.000815969,0.001256373
2,0.100000001,-0.300000012,0.200000003,-0.002917060,0.011277320,0.002967641,-0.004805957,0.699999988,-0.200000003,0.012572982,-0.013197008,0.003958137,-0.055758167,-0.102980450,0.001566824,0.001232110
3,-0.200000003,0.050000001,0.300000012,-0.007326986,0.016631817,0.001082487,-0.006747340,-0.400000006,0.899999976,0.012584879,-0.013242999,-0.000120109,-0.055758167,-0.101392880,0.003330794,-0.002563786
4,-0.190021709,0.046929322,0.285727233,-0.011356776,0.021453645,-0.000773884,-0.008521377,-0.400000006,0.899999976,0.012584879,-0.013242999,-0.000120109,-0.055758167,-0.101392880,0.003330794,-0.002511512
