tick,x0_0,x0_1,x0_2,x1_0,x1_1,x1_2,x1_3,x2_0,x2_1,l0_w00,l0_w01,l0_b0,l1_w00,l1_w01,l1_b0,l0_back_0_0
1,0.100000001,-0.300000012,0.200000003,-0.007159692,0.020431707,0.005271799,-0.011094484,0.699999988,-0.200000003,0.012583014,-0.013200494,0.009992611,-0.053999051,-0.102980450,0.004079846,0.001256373
2,0.100000001,-0.300000012,0.200000003,-0.012471652,0.036878262,0.007720596,-0.018967994,0.699999988,-0.200000003,0.012518472,-0.013016310,0.019007213,-0.052139867,-0.102980450,0.006735826,0.001134309
3,-0.200000003,0.050000001,0.300000012,-0.027166637,0.050399166,-0.001276217,-0.022368800,-0.400000006,0.899999976,0.012791188,-0.013822721,-0.002859658,-0.052139867,-0.096367709,0.014083318,-0.002737398
4,-0.160845459,0.030301923,0.253273547,-0.036262833,0.058686055,-0.006610208,-0.024473898,-0.400000006,0.899999976,0.012791188,-0.013822721,-0.002859658,-0.052139867,-0.096367709,0.014083318,-0.002504165
