tick,x0_0,x0_1,x0_2,x1_0,x1_1,x1_2,x1_3,x2_0,x2_1,l0_w00,l0_w01,l0_b0,l1_w00,l1_w01,l1_b0,l0_back_0_0
1,0.100000001,-0.300000012,0.200000003,-0.001020237,0.008415522,0.003853726,-0.004025997,0.699999988,-0.200000003,0.012578018,-0.013205489,0.004996305,-0.056147862,-0.103182472,0.001010119,0.001256373
2,0.100000001,-0.300000012,0.200000003,-0.001243463,0.016420463,0.006037697,-0.010477835,0.699999988,-0.200000003,0.012573176,-0.013165548,0.009742460,-0.055565581,-0.103348836,0.001841951,0.001193944
3,-0.200000003,0.050000001,0.300000012,-0.006647009,0.020956377,0.000629909,-0.012571988,-0.400000006,0.899999976,0.012586219,-0.013337788,-0.000746924,-0.056919627,-0.100302234,0.005227067,-0.002637697
4,-0.180120289,0.042320993,0.273428291,-0.013357665,0.024505159,-0.003975183,-0.010660341,-0.400000006,0.899999976,0.012586219,-0.013337788,-0.000746924,-0.056919627,-0.100302234,0.005227067,-0.002502104
