tick,H,x0,x1_0,x1_mid,x2_0,x2_mid,x3_0,x3_mid,x4_0,back0_0_0,l0_w00,l1_w00,l2_w00
1,8,0.119999997,0.000932554,0.000904429,0.000933909,0.000890614,0.000861864,0.000949651,-0.150000006,0.001505222,0.012579007,0.080160096,0.002006688
2,8,0.119999997,0.001022305,0.000181457,0.000872766,0.000794444,0.000751188,0.000900071,-0.150000006,0.001430967,0.012584311,0.080160126,0.002006714
3,8,0.109232299,0.001096463,-0.000431956,0.000845467,0.000679204,0.000661840,0.000853970,-0.150000006,0.001355041,0.012584311,0.080160126,0.002006714
