tick,K,N,M,act_id,x0,x_last,back00,back0_last,backlast0,backlast_last,backnk00,backnk_last_last,theta00,theta_last,bias0,bias_last
1,2,1,256,0,0.000000000,-0.002200000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,2,1,256,0,0.000000000,-0.001430000,0.000000000,0.000000000,-0.000000000,-0.000000000,0.000000000,-0.000000000,0.000000000,-0.000006050,0.000000000,-0.000110000
