run,csv,episodes,final_avg10,final_avg25,best,final_eval,best_eval
center_q50_lr1e-4_query100,python_runs/pendulum_pcpc_exactlocal_seed42_150.csv,150,-156.1078097401022,-184.30675793425834,-0.23701199350303037,-116.14032815470019,-38.30928719219342
qscale25,python_runs/pendulum_pcpc_exactlocal_seed42_qscale25_150.csv,150,-147.0221201191461,-169.96867929915462,-0.5618740618471311,-119.97591264815878,-42.430547079516344
qscale100,python_runs/pendulum_pcpc_exactlocal_seed42_qscale100_150.csv,150,-147.57640629548305,-171.76582931304355,-0.32779428279807066,-119.22968662349496,-43.67572545626002
lr_actor3e-5,python_runs/pendulum_pcpc_exactlocal_seed42_lractor3e-5_150.csv,150,-145.44641182514346,-174.716284636667,-0.450070810053961,-119.10551430892367,-89.41738999311946
lr_actor3e-4,python_runs/pendulum_pcpc_exactlocal_seed42_lractor3e-4_150.csv,150,-156.00778839911933,-172.40315801358736,-0.501578061510786,-158.51467574737188,-82.91747766400687
pc_query50,python_runs/pendulum_pcpc_exactlocal_seed42_pcquery50_150.csv,150,-1538.6453243548945,-1188.3469263150143,-1.4712308919383956,-1527.7874906371926,-41.26718543113665
pc_query200,python_runs/pendulum_pcpc_exactlocal_seed42_pcquery200_150.csv,150,-163.0715896377663,-197.99595030036105,-1.3026290265443896,-120.33456379993625,-38.49015121837599
