episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,3.0,3.0,,,0.0,0.0,4,4,,
2,3.0,3.0,,,0.0,0.0,8,8,,
3,2.0,2.6666666666666665,,,0.0,0.0,11,11,,
4,3.0,2.75,,,0.0,0.0,15,15,,
5,9.0,4.0,,,0.0,0.0,25,25,,
6,7.0,4.5,,,0.0,0.0,33,33,,
7,5.0,4.571428571428571,,,0.0,0.0,39,39,,
8,2.0,4.25,,,0.0,0.0,42,42,,
9,2.0,4.0,,,0.0,0.0,45,45,,
10,16.0,5.2,,,0.0,0.0,62,62,,
11,5.0,5.4,,,0.0,0.0,68,68,,
12,18.0,6.9,,,0.0,0.0,87,87,,
13,2.0,6.9,,,0.0,0.0,90,90,,
14,3.0,6.9,,,0.0,0.0,94,94,,
15,2.0,6.2,,,0.0,0.0,97,97,,
16,2.0,5.7,,,0.0,0.0,100,100,,
17,3.0,5.5,,,0.0,0.0,104,104,,
18,5.0,5.8,,,0.0,0.0,110,110,,
19,13.0,6.9,,,0.0,0.0,124,124,,
20,2.0,5.5,,,0.0,0.0,127,127,,
21,7.0,5.7,,,0.0,0.0,135,135,,
22,8.0,4.7,,,0.0,0.0,144,144,,
23,2.0,4.7,,,0.0,0.0,147,147,,
24,4.0,4.8,,,0.0,0.0,152,152,,
25,6.0,5.2,,,0.0,0.0,159,159,,
26,3.0,5.3,,,0.0,0.0,163,163,,
27,2.0,5.2,,,0.0,0.0,166,166,,
28,2.0,4.9,,,0.0,0.0,169,169,,
29,15.0,5.1,,,0.0,0.0,185,185,,
30,3.0,5.2,,,0.0,0.0,189,189,,
31,3.0,4.8,,,0.0,0.0,193,193,,
32,2.0,4.2,,,0.0,0.0,196,196,,
33,10.0,5.0,,,0.0,0.0,207,207,,
34,3.0,4.9,,,0.0,0.0,211,211,,
35,4.0,4.7,,,0.0,0.0,216,216,,
36,4.0,4.8,,,0.0,0.0,221,221,,
37,10.0,5.6,,,0.0,0.0,232,232,,
38,6.0,6.0,,,0.0,0.0,239,239,,
39,3.0,4.8,,,0.0,0.0,243,243,,
40,4.0,4.9,,,0.0,0.0,248,248,,
