episode,reward,avg10,eval_reward,critic_loss,actor_loss,steps,replay_size
1,-1072.1759423805888,-1072.1759423805888,,0.0,0.0,200,200
2,-980.1627416428258,-1026.1693420117074,,0.0,0.0,400,400
3,-964.3140060313684,-1005.5508966849278,,0.0,0.0,600,600
4,-1722.5101310798732,-1184.790705283664,,0.0,0.0,800,800
5,-1361.023468412454,-1220.037257909422,,0.50589919090271,1.7502377033233643,1000,1000
6,-1852.0471792600968,-1325.372244801201,,0.0421525981114246,0.829769573956728,1200,1200
7,-1399.4443129312535,-1335.95396881978,,0.0022103612116188744,1.2000336718559266,1400,1400
8,-1579.6870905214091,-1366.4206090324838,,0.0036061225365847348,1.529341027736664,1600,1600
9,-1684.8283380296284,-1401.799245587722,,0.007030122107535135,1.8698851072788238,1800,1800
10,-1500.6559889351756,-1411.6849199224675,-1712.9209536946473,0.011406076962011867,2.1943182694911956,2000,2000
11,-1565.953704257526,-1461.0626961101611,,0.016958485541690608,2.532120203971863,2200,2200
12,-1631.9608623989764,-1526.2425081857762,,0.0247884630021872,2.870151319503784,2400,2400
13,-1609.7427944075348,-1590.7853870233928,,0.034043061756528915,3.2183565354347228,2600,2600
14,-1502.975957825998,-1568.8319696980054,,0.04589746313518844,3.5421061158180236,2800,2800
15,-1509.8240419293838,-1583.7120270496982,,0.061387186655774716,3.878456211090088,3000,3000
16,-1522.6070071969036,-1550.7680098433789,,0.0705619745014701,4.206250345706939,3200,3200
17,-1105.0502844656514,-1521.3286069968187,,0.08308829016401433,4.476899991035461,3400,3400
18,-1345.4410955265696,-1497.904007497335,,0.08774020709679461,4.744521026611328,3600,3600
19,-1097.4851070384964,-1439.1696843982215,,0.11952335578389466,4.996188750267029,3800,3800
20,-1047.7938479735162,-1393.8834703020557,-1398.4618048759385,0.11628555658273398,5.208325481414795,4000,4000
21,-1509.8445701128742,-1388.2725568875906,,0.13075046934303827,5.419563736915588,4200,4200
22,-1420.6839677689109,-1367.144867424584,,0.14398443568963556,5.658665761947632,4400,4400
23,-1247.7396508914744,-1330.944553072978,,0.14884380359668284,5.925096945762634,4600,4600
24,-933.0323083652316,-1273.9501881269011,,0.16663118209922687,6.123906226158142,4800,4800
25,-561.8166599110391,-1179.1494499250668,,0.1674258097074926,6.25621572971344,5000,5000
26,-767.964073925246,-1103.685156597901,,0.23363240082282574,6.384341435432434,5200,5200
27,-536.5151667604885,-1046.8316448273847,,0.2321308117127046,6.524690341949463,5400,5400
28,-1105.909519666501,-1022.8784872413777,,0.2234091620799154,6.677692637443543,5600,5600
29,-993.5752744391227,-1012.4875039814406,,0.22747809421271087,6.8273429012298585,5800,5800
30,-1078.327703834468,-1015.5408895675355,-649.966660944015,0.25557593820616603,6.941973543167114,6000,6000
31,-668.0161293243102,-931.3580454886793,,0.27530283907894043,7.091564717292786,6200,6200
32,-689.2972041500867,-858.2193691267967,,0.27040265180170536,7.2218301820755,6400,6400
33,-397.77149878588125,-773.2225539162375,,0.3218395654577762,7.243141045570374,6600,6600
34,-398.07462073024857,-719.7267851527392,,0.28845066850073636,7.310356035232544,6800,6800
35,-386.1200712548231,-702.1571262871176,,0.34201833308208734,7.3177651596069335,7000,7000
36,-260.4512289229174,-651.4058417868848,,0.32117552785202863,7.330719761848449,7200,7200
37,-128.42273852224562,-610.5965989630604,,0.3502491395175457,7.307650637626648,7400,7400
38,-139.11274131460337,-513.9169211278706,,0.33771747229620813,7.315073776245117,7600,7600
39,-270.0632272883693,-441.5657164127953,,0.32833158304914833,7.301182537078858,7800,7800
40,-268.83941618967754,-360.6168876483163,-127.2675836487527,0.34636631768196824,7.273457865715027,8000,8000
41,-128.02817354849137,-306.6180920707344,,0.3615057666786015,7.235703921318054,8200,8200
42,-129.56807690034378,-250.64517934576014,,0.31127479841932654,7.148460783958435,8400,8400
43,-129.61326342598176,-223.8293558097702,,0.3662208399642259,7.138592557907105,8600,8600
44,-137.86405477879026,-197.80829921462436,,0.38237322786822914,7.104343476295472,8800,8800
45,-387.4457512059777,-197.94086720973982,,0.38108351683244107,7.079938373565674,9000,9000
46,-128.38553162314355,-184.7342974797624,,0.37886387764476237,7.028989400863647,9200,9200
47,-237.44333176140933,-195.6363568036788,,0.3804133550170809,7.030758104324341,9400,9400
48,-133.41190831116617,-195.06627350333508,,0.4523742027021945,6.997681384086609,9600,9600
49,-126.57539830212627,-180.71749060471078,,0.35271947680041194,6.9604374074935915,9800,9800
50,-368.21377707335193,-190.65492669307824,-127.8997140659095,0.3526023105811328,6.963272294998169,10000,10000
51,-130.22260416634523,-190.8743697548636,,0.43105509284883736,6.865446662902832,10200,10200
52,-125.8975860721042,-190.5073206720396,,0.41938571880571546,6.9202008628845215,10400,10400
53,-235.86071603009805,-201.13206593245124,,0.3652817926649004,6.706588139533997,10600,10600
54,-133.19301245552336,-200.66496170012456,,0.4169654175452888,6.780719776153564,10800,10800
55,-128.52185217243218,-174.77257179677002,,0.41000765360891817,6.693477039337158,11000,11000
56,-130.4704193056841,-174.98106056502405,,0.4244037923775613,6.605366992950439,11200,11200
57,-125.58504545909005,-163.79523193479216,,0.3505188903119415,6.479431085586548,11400,11400
58,-128.80297428752962,-163.3343385324285,,0.4195268978644162,6.49348171710968,11600,11600
59,-318.3965276655363,-182.5164514687695,,0.4371548150666058,6.534052777290344,11800,11800
60,-124.02482012439899,-158.09755577387418,-124.04002125235252,0.42717680173926054,6.3821842479705815,12000,12000
61,-117.52946135119048,-156.82824149235873,,0.3823583741206676,6.384103865623474,12200,12200
62,-237.79740257842053,-168.0182231429904,,0.44266471498645843,6.3355508804321286,12400,12400
63,-123.5936212474962,-156.7915136647302,,0.37729156129993496,6.286380338668823,12600,12600
64,-118.48834710255045,-155.3210471294329,,0.42991644838824866,6.20242733001709,12800,12800
65,-3.281743471373939,-142.79703625932706,,0.40934801239520313,6.2804461145401005,13000,13000
66,-251.25524651007046,-154.8755189797657,,0.42950342351570725,6.1357348966598515,13200,13200
67,-118.3627115615966,-154.15328559001637,,0.46593415641225877,6.090563821792602,13400,13400
68,-125.14709094696059,-153.78769725595947,,0.4638168712519109,6.0196944618225094,13600,13600
69,-3.7791233835983014,-122.32595682776564,,0.43007699951529504,6.006527552604675,13800,13800
70,-118.00102141462732,-121.72357695678848,-228.18016929757468,0.35788047618232666,5.877577576637268,14000,14000
71,-121.74152634413441,-122.14478345608288,,0.3235711457394064,5.800260758399963,14200,14200
72,-390.2892532922992,-137.39396852747075,,0.4156850000470877,5.831745367050171,14400,14400
73,-128.25088480711193,-137.85969488343233,,0.38808787731453775,5.760860352516175,14600,14600
74,-123.78695114450424,-138.38955528762773,,0.35190682085230945,5.75792239189148,14800,14800
75,-372.4019881488718,-175.30157975537747,,0.435898132994771,5.711926579475403,15000,15000
76,-251.68128414877765,-175.34418351924822,,0.4381604900490493,5.643037071228028,15200,15200
77,-128.19526477225,-176.32743884031356,,0.33337273699231446,5.711125040054322,15400,15400
78,-232.44200343812076,-187.05693008942958,,0.363893624432385,5.574005002975464,15600,15600
79,-122.72333165327173,-198.9513509163969,,0.37773179149255154,5.581739511489868,15800,15800
80,-121.47134128354202,-199.2983829032884,-78.94039610015606,0.3655815514549613,5.553978672027588,16000,16000
81,-116.9122723990501,-198.81545750877996,,0.41861440817825496,5.512258977890014,16200,16200
82,-232.81659066530094,-183.06819124608015,,0.4630921860411763,5.406195030212403,16400,16400
83,-125.76787904205052,-182.81989066957397,,0.4540115867741406,5.328283414840699,16600,16600
84,-337.2509200250292,-204.16628755762648,,0.401449538776651,5.370936460494995,16800,16800
85,-239.4782754403026,-190.87391628676954,,0.4506684818305075,5.312405619621277,17000,17000
86,-237.71946528388347,-189.47773440028013,,0.427447572266683,5.324386930465698,17200,17200
87,-1.942542921004217,-176.85246221515553,,0.3791337960679084,5.203425011634827,17400,17400
88,-117.51263468746745,-165.35952534009022,,0.3748337673954666,5.208393368721008,17600,17600
89,-117.87544298028946,-164.874736472792,,0.31926522878929975,5.095226984024048,17800,17800
90,-240.5301169836192,-176.7806140427997,-81.31318486480374,0.37582252495922147,5.102070524692535,18000,18000
91,-386.19490441527495,-203.7088772444222,,0.4148259965609759,4.955010905265808,18200,18200
92,-126.77233718823895,-193.10445189671603,,0.38936016930267214,4.963027448654175,18400,18400
93,-392.2055128666153,-219.74821527917248,,0.4718493935279548,4.92361123085022,18600,18600
94,-124.6599555069874,-198.4891188273683,,0.4535420063696802,4.8814469337463375,18800,18800
95,-124.55201019370817,-186.99649230270884,,0.3404429021012038,4.771026718616485,19000,19000
96,-2.6565266206218316,-163.49019843638274,,0.4384745391365141,4.80612802028656,19200,19200
97,-0.9494525224354945,-163.3908893965258,,0.3891465287655592,4.691041738986969,19400,19400
98,-121.98195169598894,-163.83782109737797,,0.4006746851373464,4.596397664546966,19600,19600
99,-126.85748934844143,-164.73602573419316,,0.36718088028021156,4.595396058559418,19800,19800
100,-118.16901484722631,-152.49991552055388,-159.19596046793131,0.4026224807091057,4.590101592540741,20000,20000
101,-118.86744729000421,-125.76716980802681,,0.48318628771230576,4.500166165828705,20200,20200
102,-239.73129728543378,-137.06306581774632,,0.392362408740446,4.451196224689483,20400,20400
103,-124.8094103381322,-110.32345556489797,,0.3105815007165074,4.480181448459625,20600,20600
104,-116.484380354272,-109.50589804962644,,0.5035554276034236,4.330814836025238,20800,20800
105,-0.4976067634717396,-97.1004577066028,,0.3896859125420451,4.337969810962677,21000,21000
