episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,-333.8635054803487,-333.8635054803487,,,0.0,0.0,1000,1000,,
2,-344.11949765607454,-338.9915015682116,,,0.0,0.0,2000,2000,,
3,-162.09525558772646,-280.0260862413832,,,0.0,0.0,3000,3000,,
4,-152.6975456362427,-248.1939510900981,,,0.0,0.0,4000,4000,,
5,-307.1642931728517,-259.9880195066488,,,0.0,0.0,5000,5000,,
6,-230.7945218289561,-255.1224365603667,,,0.0,0.0,6000,6000,,
7,-355.16868379345937,-269.4147575936657,,,0.0,0.0,7000,7000,,
8,-192.64926567938835,-259.819071104381,,,0.0,0.0,8000,8000,,
9,-366.22969713395065,-271.6424739965554,,,0.0,0.0,9000,9000,,
10,-398.4244961858258,-284.3206762154824,-0.36359410396556213,-0.36359410396556213,1.1343390941619873,0.0,10000,10000,,
11,-463.068226991172,-297.2411483665648,,-0.36359410396556213,0.33194537623226644,-0.31767258694022893,11000,11000,,
12,-501.4810704078722,-312.9773056417445,,-0.36359410396556213,0.3840576741695404,-1.068501889526844,12000,12000,,
13,-632.2195957106645,-359.9897396540384,,-0.36359410396556213,0.5565369234979153,-1.331009882926941,13000,13000,,
14,-327.90523410431024,-377.5105085008451,,-0.36359410396556213,0.8388926689326763,-1.6308103957176208,14000,14000,,
15,-489.0988051723057,-395.7039597007905,,-0.36359410396556213,1.023894551038742,-2.2116146566867827,15000,15000,,
16,-511.563467148163,-423.78085423271114,,-0.36359410396556213,1.1306320827007295,-2.6711440625190734,16000,16000,,
17,-457.5075033061111,-434.0147361839763,,-0.36359410396556213,1.1860201335549354,-3.2080575881004334,17000,17000,,
18,-238.93421690126482,-438.643231306164,,-0.36359410396556213,1.446944726407528,-3.871099501132965,18000,18000,,
19,-272.3998846540193,-429.2602500581708,,-0.36359410396556213,1.6997427390813828,-4.434428633213043,19000,19000,,
20,-279.7355078649541,-417.39135122608366,-372.6937324988225,-0.36359410396556213,1.8863937579393386,-4.860465714454651,20000,20000,,
21,-332.41772376346086,-404.32630090331264,,-0.36359410396556213,1.900509445309639,-5.013878079414368,21000,21000,,
22,-275.24930421459624,-381.70312428398495,,-0.36359410396556213,1.9777163598537446,-4.864866686344147,22000,22000,,
