episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,2.0,2.0,,,0.0,0.0,3,3,,
2,4.0,3.0,,,0.0,0.0,8,8,,
3,5.0,3.6666666666666665,,,0.0,0.0,14,14,,
4,6.0,4.25,,,0.0,0.0,21,21,,
5,9.0,5.2,,,0.0,0.0,31,31,,
6,3.0,4.833333333333333,,,0.0,0.0,35,35,,
7,5.0,4.857142857142857,,,0.0,0.0,41,41,,
8,3.0,4.625,,,0.0,0.0,45,45,,
9,2.0,4.333333333333333,,,0.0,0.0,48,48,,
10,8.0,4.7,,,0.0,0.0,57,57,,
11,3.0,4.8,,,0.0,0.0,61,61,,
12,3.0,4.7,,,0.0,0.0,65,65,,
13,4.0,4.6,,,0.0,0.0,70,70,,
14,3.0,4.3,,,0.0,0.0,74,74,,
15,3.0,3.7,,,0.0,0.0,78,78,,
16,2.0,3.6,,,0.0,0.0,81,81,,
17,6.0,3.7,,,0.0,0.0,88,88,,
18,5.0,3.9,,,0.0,0.0,94,94,,
19,3.0,4.0,,,0.0,0.0,98,98,,
20,8.0,4.0,,,0.0,0.0,107,107,,
21,6.0,4.3,,,0.0,0.0,114,114,,
22,2.0,4.2,,,0.0,0.0,117,117,,
23,2.0,4.0,,,0.0,0.0,120,120,,
24,8.0,4.5,,,0.0,0.0,129,129,,
25,3.0,4.5,,,0.0,0.0,133,133,,
26,6.0,4.9,,,0.0,0.0,140,140,,
27,3.0,4.6,,,0.0,0.0,144,144,,
28,17.0,5.8,,,0.0,0.0,162,162,,
29,3.0,5.8,,,0.0,0.0,166,166,,
30,3.0,5.3,,,0.0,0.0,170,170,,
31,2.0,4.9,,,0.0,0.0,173,173,,
32,2.0,4.9,,,0.0,0.0,176,176,,
33,13.0,6.0,,,0.0,0.0,190,190,,
34,2.0,5.4,,,0.0,0.0,193,193,,
35,7.0,5.8,,,0.0,0.0,201,201,,
36,7.0,5.9,,,0.0,0.0,209,209,,
37,2.0,5.8,,,0.0,0.0,212,212,,
38,4.0,4.5,,,0.0,0.0,217,217,,
39,7.0,4.9,,,0.0,0.0,225,225,,
40,5.0,5.1,,,0.0,0.0,231,231,,
41,11.0,6.0,,,0.0,0.0,243,243,,
42,4.0,6.2,,,0.0,0.0,248,248,,
43,2.0,5.1,,,0.0,0.0,251,251,,
44,3.0,5.2,,,0.0,0.0,255,255,,
45,17.0,6.2,,,0.0,0.0,273,273,,
46,5.0,6.0,,,0.0,0.0,279,279,,
47,5.0,6.3,,,0.0,0.0,285,285,,
48,3.0,6.2,,,0.0,0.0,289,289,,
49,3.0,5.8,,,0.0,0.0,293,293,,
50,5.0,5.8,,,0.0,0.0,299,299,,
