episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,-42.969209087479896,-42.969209087479896,,,0.0,0.0,50,50,,
2,-39.493200409364334,-41.231204748422115,,,0.0,0.0,100,100,,
3,-52.40723540120949,-44.95654829935123,,,0.0,0.0,150,150,,
4,-40.28507570027557,-43.78868014958232,,,0.0,0.0,200,200,,
5,-42.49335348806723,-43.529614817279295,,,0.0,0.0,250,250,,
6,-38.110740365421286,-42.626469075302964,,,0.0,0.0,300,300,,
7,-37.48095737751206,-41.89139597561855,,,0.0,0.0,350,350,,
8,-47.98860132709121,-42.653546644552634,,,0.0,0.0,400,400,,
9,-42.47069092086345,-42.6332293419205,,,0.0,0.0,450,450,,
10,-43.61475429721465,-42.731381837449916,,,0.0,0.0,500,500,,
11,-37.45697862618131,-42.18015879132005,,,0.0,0.0,550,550,,
12,-43.564173837854,-42.587256134169024,,,0.0,0.0,600,600,,
13,-45.895541896672164,-41.9360867837153,,,0.0,0.0,650,650,,
14,-41.88745554195148,-42.09632476788288,,,0.0,0.0,700,700,,
15,-43.968025610538,-42.243791980129956,,,0.0,0.0,750,750,,
16,-43.678129318209464,-42.800530875408775,,,0.0,0.0,800,800,,
17,-41.365826645201615,-43.18901780217773,,,0.0,0.0,850,850,,
18,-41.72997156073642,-42.56315482554225,,,0.0,0.0,900,900,,
19,-41.507572640216104,-42.46684299747752,,,0.0,0.0,950,950,,
20,-38.27216194649624,-41.93258376240568,,,1.7839069962501526,0.0,1000,1000,,
21,-25.701676094687752,-40.75705350925632,,,0.8435518938302994,0.5343097811937332,1050,1050,,
22,-42.053491361218434,-40.60598526159277,,,0.5173863193392754,0.7605226421356202,1100,1100,,
23,-89.14988298955566,-44.93141937088112,,,0.39620248377323153,0.874047794342041,1150,1150,,
24,-12.974271810383044,-42.04010099772427,,,0.31931875184178354,0.9561169934272766,1200,1200,,
25,-6.998714126644473,-38.34316984933491,,,0.2555608420073986,0.9396137571334839,1250,1250,,
26,-9.543220221771211,-34.9296789396911,,,0.18829208701848985,0.8743156862258911,1300,1300,,
27,-17.806640347544857,-32.57376030992542,,,0.11943252369761467,0.7987201118469238,1350,1350,,
28,-12.139539485405809,-29.61471710239236,,,0.07456644650548697,0.7294343066215515,1400,1400,,
29,-17.86655914138992,-27.250615752509738,,,0.056953071020543575,0.6817652559280396,1450,1450,,
30,-17.966011992916464,-25.220000757151762,,,0.0462501722946763,0.6827417898178101,1500,1500,,
31,-15.525402495985016,-24.202373397281487,,,0.04191419046372175,0.7004994416236877,1550,1550,,
32,-11.048099584352846,-21.10183421959493,,,0.041483707241714,0.7242944574356079,1600,1600,,
