episode,reward,avg10,eval_reward,critic_loss,actor_loss,steps,replay_size
1,-1268.8534946995433,-1268.8534946995433,,0.0,0.0,200,200
2,-976.8757055352654,-1122.8646001174043,,0.0,0.0,400,400
3,-1840.6979773761773,-1362.1423925369952,,0.0,0.0,600,600
4,-1206.0658347094275,-1323.1232530801033,,0.0,0.0,800,800
5,-1209.9813383857977,-1300.494870141242,,0.5632317066192627,1.3864891529083252,1000,1000
6,-1172.963473545526,-1279.2396373752892,,0.03723625017388258,0.6584296560287476,1200,1200
7,-882.2225196901918,-1222.522906277418,,0.002170058622723445,0.9421883702278138,1400,1400
8,-1874.3763257245105,-1304.0045837083048,,0.003547294374438934,1.2505670094490051,1600,1600
9,-1566.510058515117,-1333.1718586868396,,0.007408316473301966,1.6192948389053345,1800,1800
10,-1654.8168708731946,-1365.336359905475,-1533.7626613483008,0.015824203168740496,1.9847754633426666,2000,2000
11,-1499.5695402326012,-1388.4079644587812,,0.022928683521458878,2.323834879398346,2200,2200
12,-1599.7987967708734,-1450.7002735823419,,0.026295365726109594,2.682186975479126,2400,2400
13,-1348.5682964518628,-1401.4873054899103,,0.03325618761009537,2.986287934780121,2600,2600
14,-1440.0230600143495,-1424.8830280204024,,0.04716598384489771,3.290202751159668,2800,2800
15,-1173.7235399402862,-1421.2572481758514,,0.0645556671882514,3.58074862241745,3000,3000
16,-1567.3402710603102,-1460.69492792733,,0.06969276969903149,3.883956642150879,3200,3200
17,-1377.8024472949985,-1510.2529206878103,,0.08663606546120718,4.195176858901977,3400,3400
18,-1350.703641619237,-1457.885652277283,,0.07734128753538244,4.477180299758911,3600,3600
19,-1303.0256127280172,-1431.537207698573,,0.10610274762730114,4.764538116455078,3800,3800
20,-1104.1539725274,-1376.4709178639937,-1031.6640571486334,0.11462724267737939,5.027935295104981,4000,4000
21,-974.0163266977495,-1323.9155965105083,,0.1319235567911528,5.207837653160095,4200,4200
22,-1423.0017940480766,-1306.2358962382289,,0.11596619029995053,5.429397625923157,4400,4400
23,-580.9638467171142,-1229.4754512647537,,0.1454071357822977,5.598054518699646,4600,4600
24,-208.3019439759461,-1106.3033396609135,,0.15239873401354997,5.643587641716003,4800,4800
25,-1395.2723106393917,-1128.458216730824,,0.17420753146754578,5.784924297332764,5000,5000
26,-1290.9421860565935,-1100.8184082304524,,0.18149026569910348,6.057853565216065,5200,5200
27,-1288.84648708174,-1091.9228122091267,,0.21332051257602871,6.232281651496887,5400,5400
28,-397.9082709569535,-996.6432751428983,,0.22724023985676467,6.3416236925125125,5600,5600
29,-840.257600713003,-950.3664739413969,,0.2318003090424463,6.471657876968384,5800,5800
30,-661.9026770742639,-906.1413443960831,-474.2666670409071,0.2504306919593364,6.512202324867249,6000,6000
31,-263.471875279125,-835.0868992542207,,0.2624512430746108,6.6053330612182615,6200,6200
32,-520.2278127026791,-744.8095011196809,,0.2520818489231169,6.624886889457702,6400,6400
33,-373.5045539444781,-724.0635718424174,,0.27375575391575696,6.683747358322144,6600,6600
34,-498.6921656544821,-753.102594010271,,0.2623019383614883,6.734962840080261,6800,6800
35,-129.83000048157126,-626.5583629944889,,0.278796665975824,6.697854108810425,7000,7000
36,-253.99526731480685,-522.8636711203103,,0.26784332643728703,6.698177337646484,7200,7200
37,-275.7076275748396,-421.5497851696203,,0.2842146655637771,6.692043209075928,7400,7400
38,-243.07745735371338,-406.0667038092962,,0.3443534849584103,6.64602147102356,7600,7600
39,-6.93041095449375,-322.73398483344533,,0.3311023409292102,6.6685592603683475,7800,7800
40,-137.42672293715532,-270.28638941973446,-51.88538912113421,0.320364895388484,6.610948753356934,8000,8000
41,-6.144415701916049,-244.55364346201355,,0.35642370145767927,6.577906527519226,8200,8200
42,-247.688946807227,-217.29975687246832,,0.31280212342739105,6.564407057762146,8400,8400
43,-4.497502495031791,-180.3990517275237,,0.3580931810848415,6.524032788276672,8600,8600
44,-131.869553399996,-143.7167905020751,,0.30978383600711823,6.42997549533844,8800,8800
45,-343.3961334947843,-165.0734038033964,,0.29580999664962293,6.503248620033264,9000,9000
46,-11.695063185322077,-140.84338339044797,,0.3375036633852869,6.338288431167602,9200,9200
47,-138.0822625506531,-127.08084688802926,,0.30671489152126014,6.3548014450073245,9400,9400
48,-380.74560463478645,-140.84766161613658,,0.3845434685330838,6.377903914451599,9600,9600
49,-243.48638389021156,-164.50325890970834,,0.41175170516595244,6.335546689033508,9800,9800
50,-247.4351224470178,-175.5040988606946,-129.96679009135724,0.354523663232103,6.34527820110321,10000,10000
51,-138.2431922203792,-188.7139765125409,,0.32779309099540116,6.313708124160766,10200,10200
52,-257.16659474357357,-189.66174130617557,,0.3545984518714249,6.270276832580566,10400,10400
53,-133.8413936449799,-202.5961304211704,,0.4033322925399989,6.251101703643799,10600,10600
54,-134.2367024421834,-202.83284532538914,,0.35698509159497915,6.183649487495423,10800,10800
55,-125.78757181863578,-181.07198915777428,,0.30780576554127037,6.139466161727905,11000,11000
56,-260.2361343142665,-205.92609627066872,,0.3960437755752355,6.139106001853943,11200,11200
57,-354.4581106039497,-227.56368107599837,,0.40396192274987697,6.132282791137695,11400,11400
58,-129.34472769586154,-202.4235933821059,,0.37532145663164557,6.111554236412048,11600,11600
59,-5.539343685079231,-178.62888936159268,,0.3608476790320128,6.035968503952026,11800,11800
60,-358.1404099549737,-189.69941811238826,-166.35612782728154,0.3899131398834288,6.029231300354004,12000,12000
61,-122.25431054766464,-188.10052994511676,,0.4352685698401183,6.038760938644409,12200,12200
62,-130.20484902474547,-175.40435537323395,,0.37910268298350275,5.945944447517395,12400,12400
63,-120.30870451001182,-174.05108645973718,,0.31678883406333624,5.938012309074402,12600,12600
64,-119.34893762878545,-172.5623099783974,,0.4073098524194211,5.907865285873413,12800,12800
65,-239.20318565242812,-183.90387136177662,,0.40913629995658995,5.854714455604554,13000,13000
66,-127.9398902585506,-170.67424695620502,,0.37754304020665586,5.818837327957153,13200,13200
67,-243.63150857191937,-159.591586753002,,0.44540314859710634,5.7694162034988405,13400,13400
68,-371.19060806870766,-183.77617479028657,,0.4227039388567209,5.7366033411026,13600,13600
69,-3.0766631433518254,-183.52990673611387,,0.36216745916754006,5.72219172000885,13800,13800
70,-120.31246842698377,-159.74711258331487,-126.03827763332588,0.4281518496479839,5.640578627586365,14000,14000
71,-5.371112334390161,-148.0587927619874,,0.3802740437351167,5.606910247802734,14200,14200
72,-6.893388371878662,-135.72764669670073,,0.3967354533262551,5.4805471086502076,14400,14400
73,-240.06095691541952,-147.70287193724153,,0.3587443794310093,5.457825436592102,14600,14600
74,-5.280623934216275,-136.2960405677846,,0.4395597108732909,5.370438594818115,14800,14800
75,-125.65535651737983,-124.94125765427978,,0.4011286357603967,5.35571982383728,15000,15000
76,-126.76279421135216,-124.82354804955995,,0.40205374915152786,5.334781064987182,15200,15200
77,-125.13472416722446,-112.97386960909041,,0.41444461260922255,5.2478478193283085,15400,15400
78,-125.63884229169824,-88.4186930313895,,0.37193490625359116,5.149469776153564,15600,15600
79,-113.50894838774923,-99.46192155582922,,0.37568506751209496,5.087568778991699,15800,15800
80,-122.82075662180478,-99.71275037531133,-119.74202927498698,0.39462548211216925,5.0821464204788205,16000,16000
81,-125.04145041099791,-111.6797841829721,,0.35799449007958173,4.96013503074646,16200,16200
82,-125.56822083278837,-123.5472674290631,,0.465865114768967,4.963361148834228,16400,16400
83,-125.90587259773721,-112.13175899729485,,0.39481410073116424,4.815156388282776,16600,16600
84,-130.67609027698455,-124.67130563157166,,0.3746348336804658,4.824037210941315,16800,16800
85,-3.838992213174663,-112.48966920115114,,0.3279893353488296,4.667289385795593,17000,17000
86,-128.14625768296463,-112.62801554831239,,0.4048587532900274,4.682153792381286,17200,17200
87,-238.25245633245916,-123.93978876483588,,0.35236814882606265,4.655606350898743,17400,17400
88,-115.28045961221515,-122.90395049688755,,0.3188319985754788,4.561530168056488,17600,17600
89,-121.39442597501686,-123.69249825561432,,0.44202997321262955,4.529912295341492,17800,17800
90,-234.2912275599377,-134.83954534942762,-43.328796445778615,0.3463513210788369,4.474335699081421,18000,18000
91,-243.6195050240658,-146.6973508107344,,0.3531327172275633,4.423601927757264,18200,18200
92,-268.5761290723723,-160.9981416346928,,0.38799720641225577,4.314596626758576,18400,18400
93,-224.34375721447682,-170.84193009636675,,0.41062214533798397,4.195433778762817,18600,18600
94,-116.98986148464087,-169.4733072171324,,0.34413430905900894,4.144467263221741,18800,18800
95,-119.4795646273252,-181.03736445854747,,0.4063969352468848,4.07548011302948,19000,19000
96,-342.871547670778,-202.5098934573288,,0.35753846930339933,4.025503706932068,19200,19200
97,-122.95116234027277,-190.97976405811013,,0.36074018171057104,3.9284142780303957,19400,19400
98,-364.5150049391532,-215.90321859080396,,0.3613175547588617,3.8811799120903014,19600,19600
99,-241.70942817405177,-227.93471881070747,,0.3823514051735401,3.8425038695335387,19800,19800
100,-115.52302098337934,-216.0578981530516,-121.50321705450777,0.40806596133857964,3.669816014766693,20000,20000
101,-128.02185749585956,-204.49813340023098,,0.33180710397660734,3.7313324928283693,20200,20200
102,-2.38255410003447,-177.8787759029972,,0.26245916046202183,3.59333566904068,20400,20400
103,-113.78943505072347,-166.82334368662185,,0.3596738716214895,3.5300022673606875,20600,20600
104,-253.05184059897832,-180.42954159805564,,0.33679590759798883,3.436411650180817,20800,20800
105,-122.40887335935237,-180.7224724712583,,0.34255859469994904,3.4380721652507784,21000,21000
106,-240.146713510024,-170.44998905518293,,0.31691909454762934,3.2440297651290892,21200,21200
107,-118.08056581392242,-169.9629294025479,,0.3402093754708767,3.2540952157974243,21400,21400
108,-238.2597548944105,-157.33740439807363,,0.3303089504223317,3.1526173400878905,21600,21600
109,-246.1882757306706,-157.7852891537355,,0.3655656513758004,3.160405570268631,21800,21800
110,-244.5258855521196,-170.68557561060953,-120.73657349968174,0.39107540406286717,3.095427039861679,22000,22000
111,-125.83969960434676,-170.46735982145827,,0.3278601065836847,2.973638752698898,22200,22200
112,-127.23702849872272,-182.9528072613271,,0.3038598261401057,2.920764081478119,22400,22400
113,-120.91578087052177,-183.66544184330692,,0.3458222936093807,2.823532073497772,22600,22600
114,-114.93506290244957,-169.85376407365405,,0.29008846279233697,2.7306753504276275,22800,22800
115,-123.26279345886397,-169.93915608360518,,0.33313393947668374,2.7708764874935152,23000,23000
116,-236.45733753212033,-169.57021848581482,,0.33669502203352747,2.722002930641174,23200,23200
117,-114.41399208002643,-169.20356111242523,,0.2754128400143236,2.735073319673538,23400,23400
118,-123.36795253982206,-157.7143808769664,,0.27077424339950085,2.5782643377780916,23600,23600
119,-125.23466357803255,-145.61901966170257,,0.25907251964323225,2.6618087124824523,23800,23800
120,-123.16280717252532,-133.48271182374316,-124.37012693023651,0.27380478761158883,2.4433334362506867,24000,24000
121,-1.1577848950437226,-121.01452035281287,,0.26831142210401593,2.3865687370300295,24200,24200
122,-232.50625123834368,-131.54144262677497,,0.2754640514124185,2.3659253191947935,24400,24400
123,-238.8672421294571,-143.33658875266846,,0.35510640687309203,2.4193097388744356,24600,24600
124,-119.36250669968099,-143.77933313239163,,0.2890718561783433,2.3648460042476653,24800,24800
125,-124.28894779446406,-143.88194856595163,,0.2620701954420656,2.280801830291748,25000,25000
