episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,-277.9538249818257,-277.9538249818257,,,0.0,0.0,1000,1000,,
2,-378.3605198810925,-328.1571724314591,,,0.0,0.0,2000,2000,,
3,-364.5875857188316,-340.30064352725,,,0.0,0.0,3000,3000,,
4,-329.9182468698275,-337.70504436289434,,,0.0,0.0,4000,4000,,
5,-327.1725804376135,-335.5985515778382,,,0.0,0.0,5000,5000,,
6,-168.48463343111905,-307.7462318867183,,,0.0,0.0,6000,6000,,
7,-306.5898390018392,-307.58103290316416,,,0.0,0.0,7000,7000,,
8,-158.8000367631203,-288.98340838565866,,,0.0,0.0,8000,8000,,
9,-282.0491159246399,-288.21293144554545,,,0.0,0.0,9000,9000,,
10,-289.6657619083255,-288.3582144918235,-0.17006827578409411,-0.17006827578409411,1.2140934467315674,0.0,10000,10000,,
11,-421.4307151891063,-302.7059035125515,,-0.17006827578409411,0.31630223944038155,-0.6380280393920839,11000,11000,,
12,-509.71020649117196,-315.84087217355943,,-0.17006827578409411,0.3483210574015975,-0.9081957728266716,12000,12000,,
13,-432.9952954650752,-322.68164314818387,,-0.17006827578409411,0.5384052666276693,-1.1988432939648628,13000,13000,,
14,-537.4569478793107,-343.43551324913216,,-0.17006827578409411,0.702567051872611,-1.7278638772964479,14000,14000,,
15,-523.8471621587668,-363.10297142124756,,-0.17006827578409411,0.8248904742896557,-2.3551799829006197,15000,15000,,
16,-509.9470207526879,-397.24921015340436,,-0.17006827578409411,0.9565767475366592,-3.2819090242385864,16000,16000,,
17,-448.21034852495046,-411.4112611057155,,-0.17006827578409411,1.1084735177159308,-4.074855022907257,17000,17000,,
18,-468.2533066063427,-442.3565880900377,,-0.17006827578409411,1.2067845289111137,-4.666487095832824,18000,18000,,
19,-390.3463545090837,-453.1863119484821,,-0.17006827578409411,1.326497502297163,-4.900358826637268,19000,19000,,
20,-411.8716934870871,-465.4069051063583,-485.61287094841873,-0.17006827578409411,1.4263473199009895,-5.021508602142334,20000,20000,,
21,-65.55257532013215,-429.8190911194608,,-0.17006827578409411,1.8037050039172173,-5.169587138652801,21000,21000,,
22,-156.26273385876303,-394.47434385622,,-0.17006827578409411,2.2621388300061227,-5.337882716178894,22000,22000,,
23,680.8717296046731,-283.08764134924513,,-0.17006827578409411,2.430151360452175,-5.629489182472229,23000,23000,,
24,1013.676811640413,-127.97426539727277,,-0.17006827578409411,2.550619906783104,-6.306766175270081,24000,24000,,
25,1180.5363737427042,42.46408819287433,,-0.17006827578409411,2.8099083956480024,-7.377571618080139,25000,25000,,
26,1512.4740730403055,244.7061975721737,,-0.17006827578409411,3.006107892513275,-8.854125946998597,26000,26000,,
27,1987.1902449407735,488.246256918746,,-0.17006827578409411,3.2838067471385,-10.605348992347718,27000,27000,,
28,828.9884609359522,617.9704336729756,,-0.17006827578409411,3.925526629447937,-12.583303276062011,28000,28000,,
29,1893.6528341701683,846.3703525409007,,-0.17006827578409411,4.31867126762867,-14.215285348892213,29000,29000,,
30,-572.6421762299191,830.2933042666175,2478.591758431869,2478.591758431869,5.130425046801567,-15.687770837783814,30000,30000,,
31,2284.7348938590267,1065.3220511845334,,2478.591758431869,5.715565182924271,-17.03459691619873,31000,31000,,
32,1752.9982830851093,1256.2481528789208,,2478.591758431869,6.441278775334358,-19.197530290603638,32000,32000,,
33,2064.5345090103187,1394.614430819485,,2478.591758431869,7.644153490304947,-21.70693906021118,33000,33000,,
34,743.8357248233336,1367.6303221377773,,2478.591758431869,8.76265021276474,-24.006020595550538,34000,34000,,
35,2549.037520335198,1504.4804367970266,,2478.591758431869,9.265556804418564,-26.05438313293457,35000,35000,,
36,2528.147239299468,1606.0477534229428,,2478.591758431869,10.327385188341141,-28.57271515274048,36000,36000,,
37,2622.2653695690346,1669.5552658857687,,2478.591758431869,10.906553943157196,-31.810256042480468,37000,37000,,
38,2407.705677796231,1827.426987571797,,2478.591758431869,11.994900121688843,-34.79655852890015,38000,38000,,
39,2495.6649699513955,1887.62820114992,,2478.591758431869,13.490648137331009,-37.9279451751709,39000,39000,,
40,2366.97120374444,2181.5895391473555,1455.0401005311949,2478.591758431869,14.975410291194915,-41.11254168701172,40000,40000,,
41,2616.742609596817,2214.7903107211346,,2478.591758431869,15.03633942937851,-43.89463919067383,41000,41000,,
42,2623.945537883537,2301.8850362009775,,2478.591758431869,16.1630929210186,-47.134127616882324,42000,42000,,
43,2711.514282673829,2366.5830135673286,,2478.591758431869,17.101474865436554,-50.085349151611325,43000,43000,,
44,2685.376025488976,2560.7370436338924,,2478.591758431869,18.988675132513045,-53.256549659729004,44000,44000,,
45,2810.533820520253,2586.8866736523983,,2478.591758431869,18.966820044755934,-56.3827822265625,45000,45000,,
46,2677.0888870883387,2601.7808384312857,,2478.591758431869,19.571059905052184,-59.15842788696289,46000,46000,,
47,2918.610511722162,2631.4153526465984,,2478.591758431869,21.163889560461044,-62.4799751586914,47000,47000,,
48,2754.2164071111597,2666.066425578091,,2478.591758431869,21.836451253414154,-65.63981545257569,48000,48000,,
49,877.5282749341823,2504.252756076369,,2478.591758431869,23.748593871593474,-67.90338780212403,49000,49000,,
50,3052.00757566919,2572.756393268845,2932.1875246592776,2932.1875246592776,24.7585115275383,-70.01881887054444,50000,50000,,
51,1962.4174799258808,2507.323880301751,,2932.1875246592776,26.27812224531174,-72.47388497161866,51000,51000,,
52,418.0604918099076,2286.7353756943876,,2932.1875246592776,26.79054574775696,-74.24049915313721,52000,52000,,
53,3076.152353193768,2323.1991827463817,,2932.1875246592776,27.42566308450699,-75.28694395446777,53000,53000,,
54,2928.4296564699966,2347.5045458444843,,2932.1875246592776,27.14630877494812,-78.02283856201171,54000,54000,,
55,3013.736823884483,2367.824846180907,,2932.1875246592776,32.02089340829849,-80.0880118560791,55000,55000,,
56,314.56549910309985,2131.572507382383,,2932.1875246592776,33.42444523000717,-82.19704136657715,56000,56000,,
57,2968.64346257771,2136.5758024679376,,2932.1875246592776,31.577730843544007,-83.37706546020507,57000,57000,,
58,3221.7903080386727,2183.333192560689,,2932.1875246592776,32.627414308547976,-86.1623367614746,58000,58000,,
59,3053.679122485847,2400.948277315855,,2932.1875246592776,31.668742681980135,-88.30172584533692,59000,59000,,
60,2891.6700168057673,2384.9145214295136,2949.806481042424,2949.806481042424,37.8267551445961,-90.94445471191406,60000,60000,,
61,2959.5146446699528,2484.6242379039204,,2949.806481042424,35.24215815448761,-93.00405247497558,61000,61000,,
62,3032.533143401751,2746.0715030631045,,2949.806481042424,39.44580435037613,-95.42316889953614,62000,62000,,
63,3191.3835145749317,2757.594619201221,,2949.806481042424,35.96332481241226,-97.59935717773438,63000,63000,,
64,3245.7012298432924,2789.321776538551,,2949.806481042424,40.05523365879059,-99.80801626586914,64000,64000,,
65,3245.129501171253,2812.461044267228,,2949.806481042424,42.38596955251694,-102.15210556030273,65000,65000,,
66,3536.7950304761894,3134.683997404537,,2949.806481042424,41.087909303665164,-104.56181376647949,66000,66000,,
67,2940.260748803332,3131.845726027099,,2949.806481042424,47.01501938199997,-106.64250827026368,67000,67000,,
68,1324.8282932623952,2942.149524549471,,2949.806481042424,44.747528371810915,-108.84768978881836,68000,68000,,
69,3244.828911148774,2961.2645034157636,,2949.806481042424,43.4306932721138,-109.94015995788574,69000,69000,,
70,3158.904786146773,2987.9879803498643,3393.619317445182,3393.619317445182,47.36251423740387,-112.0126021118164,70000,70000,,
71,3267.203303761325,3018.7568462590016,,3393.619317445182,48.97355174541473,-113.95274339294434,71000,71000,,
72,3406.008009467209,3056.1043328655473,,3393.619317445182,49.248356042861936,-116.1750765991211,72000,72000,,
73,3326.1091336143827,3069.5768947694924,,3393.619317445182,49.01750187540054,-118.09056591796875,73000,73000,,
74,3384.954792247551,3083.5022510099184,,3393.619317445182,50.982050687789915,-120.369435546875,74000,74000,,
75,3228.2469551957756,3081.8139964123707,,3393.619317445182,47.789459089756015,-122.1742996673584,75000,75000,,
76,3391.687804322588,3067.3032737970107,,3393.619317445182,53.68942761516571,-124.29434307861328,76000,76000,,
77,3387.820742579947,3112.059273174672,,3393.619317445182,56.579646649360654,-126.12003399658204,77000,77000,,
78,3306.7304400697935,3310.249487855412,,3393.619317445182,53.43260084104538,-128.21519541931153,78000,78000,,
79,3459.9014657358566,3331.7567433141203,,3393.619317445182,57.22580410814285,-130.04934643554688,79000,79000,,
80,3220.51594163022,3337.917858862465,3438.807702404805,3438.807702404805,59.64729207372665,-131.660075592041,80000,80000,,
81,3461.770424817505,3357.374570968083,,3438.807702404805,59.896046801567074,-134.15183863830566,81000,81000,,
82,3552.9050866152475,3372.0642786828867,,3438.807702404805,62.26420908308029,-136.32257760620118,82000,82000,,
83,3151.619261188954,3354.6152914403438,,3438.807702404805,58.74160713338852,-137.3362018432617,83000,83000,,
84,3286.1687711040227,3344.736689325991,,3438.807702404805,68.03168126010895,-139.43644750976563,84000,84000,,
85,3716.3836201478694,3393.5503558212004,,3438.807702404805,63.56030796146393,-141.38549194335937,85000,85000,,
86,3388.565251573874,3393.2381005463294,,3438.807702404805,65.12887937927246,-143.1387155456543,86000,86000,,
87,3285.3923319146784,3382.9952594798024,,3438.807702404805,66.06675525856018,-145.15605184936524,87000,87000,,
88,3561.1350272228274,3408.4357181951054,,3438.807702404805,62.413203038215634,-147.4560212097168,88000,88000,,
89,3133.1645044699417,3375.762022068514,,3438.807702404805,63.602380389213565,-148.96150625610352,89000,89000,,
90,3619.8581691071286,3415.696244816205,3047.202912427192,3438.807702404805,67.93631458950043,-150.6063899230957,90000,90000,,
91,2727.8548668328413,3342.3046890177384,,3438.807702404805,65.93627932929992,-152.394354888916,91000,91000,,
92,3122.7730573022177,3299.2914860864353,,3438.807702404805,77.98493861484528,-153.87322732543944,92000,92000,,
93,1179.8094521363687,3102.1105051811764,,3438.807702404805,68.4541560306549,-155.09598248291016,93000,93000,,
94,3444.2887833691216,3117.9225064076863,,3438.807702404805,71.0879731645584,-155.8245732421875,94000,94000,,
95,469.99478106415677,2793.2836224993157,,3438.807702404805,72.18433437347412,-156.36039184570313,95000,95000,,
96,3285.6234251003034,2782.989439851958,,3438.807702404805,71.14998488712311,-156.97128796386718,96000,96000,,
97,3450.9596534810394,2799.546172008595,,3438.807702404805,77.48280589962006,-158.6558917236328,97000,97000,,
98,3334.7241168248243,2776.9050809687947,,3438.807702404805,76.18668170547485,-159.7523666381836,98000,98000,,
99,3252.9309131821715,2788.8817218400177,,3438.807702404805,76.6278672914505,-160.9628977355957,99000,99000,,
100,3561.2318929257067,2783.019094221875,3558.7426862247526,3558.7426862247526,81.60677270317078,-163.00021798706055,100000,100000,,
