episode,reward,avg10,eval_reward,critic_loss,actor_loss,steps,replay_size
1,-1372.6107728577158,-1372.6107728577158,,0.0,0.0,200,200
2,-1475.5782973521189,-1424.0945351049172,,0.0,0.0,400,400
3,-1187.0884447296203,-1345.0925049798182,,0.0,0.0,600,600
4,-1595.5131671124066,-1407.6976705129653,,0.0,0.0,800,800
5,-1054.3920879790123,-1337.0365540061746,,0.6099618673324585,1.0613343715667725,1000,1000
6,-1075.430392859273,-1293.4355271483576,,0.030229670862900092,0.4170767714828253,1200,1200
7,-1608.4369522671307,-1338.4357307367538,,0.0022995379392523317,0.683821120262146,1400,1400
8,-1049.6703502950172,-1302.3400581815367,,0.010715743998298421,0.9889602267742157,1600,1600
9,-1573.9933593276012,-1332.5237583088774,,0.005857727905677166,1.3123895299434662,1800,1800
10,-1698.2045386774682,-1369.0918363457363,-1579.0159362368613,0.011758376209181734,1.684456661939621,2000,2000
11,-1838.537531086789,-1415.6845121686438,,0.018336446573375725,2.0631938970088957,2200,2200
12,-1750.029997955055,-1443.1296822289373,,0.028530880499165506,2.450303430557251,2400,2400
13,-1509.763497793536,-1475.3971875353288,,0.0320563113555545,2.7730299758911134,2600,2600
14,-1557.1091027663795,-1471.5567811007263,,0.03885737170407083,3.1136138820648194,2800,2800
15,-1420.1360074981183,-1508.1311730526368,,0.052809270017314704,3.4647482681274413,3000,3000
16,-1316.3016216225567,-1532.2182959289653,,0.06511442911694758,3.7466628551483154,3200,3200
17,-1230.5413701977518,-1494.4287377220276,,0.07526014163857325,3.999977831840515,3400,3400
18,-1537.7526565257172,-1543.2369683450975,,0.08474020414752886,4.2958086967468265,3600,3600
19,-1317.5964826588524,-1517.5972806782224,,0.09436515055131167,4.597470607757568,3800,3800
20,-965.9730037391748,-1444.374127184393,-1132.302074501618,0.10581656587775796,4.82787486076355,4000,4000
21,-960.3204432775083,-1356.552418403465,,0.11176911629969254,5.0224143981933596,4200,4200
22,-942.5092139840951,-1275.800340006369,,0.12402346216607839,5.188713760375976,4400,4400
23,-787.5068774500622,-1203.5746779720216,,0.13429480119841172,5.3566381454467775,4600,4600
24,-758.8102868180134,-1123.7447963771851,,0.13938845141790807,5.475815854072571,4800,4800
25,-779.7476164134328,-1059.7059572687167,,0.15560358801158145,5.634796566963196,5000,5000
26,-774.8382589524371,-1005.5596210017045,,0.1544041922222823,5.714761862754822,5200,5200
27,-653.9121118415095,-947.8966951660802,,0.1521401153411716,5.88070442199707,5400,5400
28,-972.5775616754397,-891.3791856810525,,0.17168747392483055,5.998189458847046,5600,5600
29,-657.7242320261886,-825.3919606177863,,0.1906963489856571,6.145586361885071,5800,5800
30,-646.0313308346908,-793.3977933273378,-771.0136828887302,0.20108541673980654,6.269141283035278,6000,6000
31,-641.2870369009627,-761.4944526896832,,0.1901449722563848,6.360614476203918,6200,6200
32,-731.5822415182708,-740.4017554431008,,0.22970073162112384,6.450747814178467,6400,6400
33,-627.1512439803572,-724.3661920961304,,0.186766876289621,6.545255470275879,6600,6600
34,-814.1249891233905,-729.897662326668,,0.22801063859369605,6.661710820198059,6800,6800
35,-823.3294568431772,-734.2558463696424,,0.22022094905842096,6.778799843788147,7000,7000
36,-775.9447095081873,-734.3664914252174,,0.2644507854385301,6.876001019477844,7200,7200
