seed,final_avg10,final_avg25,best,final_eval,best_eval
1,-156.32276418905604,-152.48041192868658,-0.38148077149360476,-80.97058884327674,-40.15491552997864
7,-152.10084646240395,-157.43475900718667,-1.1577848950437226,-163.08323672895494,-43.328796445778615
21,-129.79634616551112,-119.91146163680169,-0.16007341408893716,-199.48922423574615,-76.69132475816991
42,-156.1078097401022,-184.30675793425834,-0.23701199350303037,-116.14032815470019,-38.30928719219342
84,-144.6710478358546,-125.79715191357907,-0.1001583902548635,-84.44442237908557,-82.85429453691835
