episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,-196.27478098787546,-196.27478098787546,,,0.0,0.0,1000,1000,,
2,-344.98332410378225,-270.62905254582887,,,0.0,0.0,2000,2000,,
3,-376.1203841188279,-305.79282973682854,,,0.0,0.0,3000,3000,,
4,-274.6319881739353,-298.00261934610523,,,0.0,0.0,4000,4000,,
5,-246.69890339694655,-287.7418761562735,,,0.0,0.0,5000,5000,,
6,-313.5746367914407,-292.0473362621347,,,0.0,0.0,6000,6000,,
7,-296.78328228869907,-292.7238999802153,,,0.0,0.0,7000,7000,,
8,-403.9339502094226,-306.62515625886624,,,0.0,0.0,8000,8000,,
9,-356.7520846530862,-312.1948149693351,,,0.0,0.0,9000,9000,,
10,-247.52959241667855,-305.7282927140694,-0.7683356369950811,-0.7683356369950811,1.1358495950698853,0.0,10000,10000,,
11,-381.710806017979,-324.27189521707976,,-0.7683356369950811,0.33616398884356025,-0.20880718887597322,11000,11000,,
12,-416.92772452075815,-331.4663352587774,,-0.7683356369950811,0.35708838354051115,-0.9353081084489823,12000,12000,,
13,-417.66590400788124,-335.62088724768273,,-0.7683356369950811,0.5359318281710148,-1.2096200053691863,13000,13000,,
14,-472.20027881938415,-355.37771631222756,,-0.7683356369950811,0.7460840471386909,-1.3123688251972199,14000,14000,,
15,-316.00565434247693,-362.30839140678063,,-0.7683356369950811,1.0040485225319862,-2.0084564635753632,15000,15000,,
16,-451.4414249762003,-376.0950702252567,,-0.7683356369950811,1.0791123597621917,-2.516470216989517,16000,16000,,
17,-199.1866953014125,-366.335411526528,,-0.7683356369950811,1.1764075282812119,-2.8532088594436646,17000,17000,,
18,-170.66756786201037,-343.0087732917867,,-0.7683356369950811,1.3160031960606575,-3.081406442642212,18000,18000,,
19,-83.80599174310947,-315.7141640007891,,-0.7683356369950811,1.338936748147011,-3.3837789959907534,19000,19000,,
20,-105.43862927534568,-301.5050676866558,152.81216874865046,152.81216874865046,1.3956498724222184,-3.690804464817047,20000,20000,,
21,-23.472145758924384,-265.68120166075033,,152.81216874865046,1.4301045039892197,-3.935916676044464,21000,21000,,
22,-33.26206134358642,-227.31463534303316,,152.81216874865046,1.5150520215034484,-4.215586102962494,22000,22000,,
23,81.29122233209374,-177.41892270903566,,152.81216874865046,1.4880692801475526,-4.228116263866425,23000,23000,,
24,-99.1736568530394,-140.1162605124012,,152.81216874865046,1.44850934112072,-4.240452065944671,24000,24000,,
25,-53.78041139377204,-113.89373621753069,,152.81216874865046,1.5165348889827728,-4.25145475101471,25000,25000,,
26,64.42841009122725,-62.30675271078792,,152.81216874865046,1.594849521279335,-4.342040810585022,26000,26000,,
27,617.4369977336905,19.355616592722377,,152.81216874865046,1.6020905513763428,-4.613060067653656,27000,27000,,
28,165.66127883752375,52.98850126267579,,152.81216874865046,1.6551242607831955,-5.228865588665008,28000,28000,,
29,599.8875345999842,121.35785389698518,,152.81216874865046,1.6655139189958572,-5.6582538228034975,29000,29000,,
30,194.0471316771554,151.30642999223528,517.2010628469616,517.2010628469616,1.6764737166166306,-6.075715114116669,30000,30000,,
