episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,-264.6654725704367,-264.6654725704367,,,0.0,0.0,1000,1000,,
2,-347.1439798131629,-305.9047261917998,,,0.0,0.0,2000,2000,,
3,-265.7005684507595,-292.50334027811965,,,0.0,0.0,3000,3000,,
4,-300.02731958166595,-294.38433510400625,,,0.0,0.0,4000,4000,,
5,-352.85560035743714,-306.07858815469245,,,0.0,0.0,5000,5000,,
6,-168.35634297354306,-283.1248806245009,,,0.0,0.0,6000,6000,,
7,-355.60691150399,-293.4794564644279,,,0.0,0.0,7000,7000,,
8,-375.09276037443726,-303.68111945317906,,,0.0,0.0,8000,8000,,
9,-160.19466263536947,-287.7381798067558,,,0.0,0.0,9000,9000,,
10,-222.2969428193213,-281.1940561080124,-0.3303571774304729,-0.3303571774304729,1.1722030639648438,0.0,10000,10000,,
11,-433.03591004914955,-298.03109985588367,,-0.3303571774304729,0.32723652805387976,-0.5375917262760922,11000,11000,,
12,-359.7512863214019,-299.29183050670747,,-0.3303571774304729,0.37946460555493833,-1.0756955052614212,12000,12000,,
13,-471.2988383286421,-319.8516574944957,,-0.3303571774304729,0.5719852637648583,-1.4679314584732055,13000,13000,,
14,-501.64622178329455,-340.0135477146586,,-0.3303571774304729,0.8032364889383315,-1.6582760989665986,14000,14000,,
15,-474.0989963299516,-352.13788731191005,,-0.3303571774304729,1.0657384087443351,-2.254836086034775,15000,15000,,
16,-316.75016130181035,-366.9772691447368,,-0.3303571774304729,1.217990534722805,-2.900158787250519,16000,16000,,
17,-325.4001603669569,-363.95659403103343,,-0.3303571774304729,1.3181099869608879,-3.4599560327529906,17000,17000,,
18,-422.9512215498836,-368.7424401485781,,-0.3303571774304729,1.5671983747482299,-3.9047571134567263,18000,18000,,
19,-315.09335737039316,-384.2323096220805,,-0.3303571774304729,1.6860840458869935,-4.051440860271454,19000,19000,,
20,-350.420409137744,-397.0446562539228,-221.72697352316956,-0.3303571774304729,1.877771519422531,-4.213019921302795,20000,20000,,
21,-172.6576185456455,-371.0068271035724,,-0.3303571774304729,2.004488243818283,-4.429950800418854,21000,21000,,
22,722.1633153953387,-262.81536693189827,,-0.3303571774304729,2.1381370459794997,-4.982808472633362,22000,22000,,
23,-198.5877969446378,-235.54426279349786,,-0.3303571774304729,2.303746405482292,-5.451910695075989,23000,23000,,
24,1456.5448051357307,-39.725160101595385,,-0.3303571774304729,2.3897653801441194,-6.1814697666168215,24000,24000,,
25,371.5920845699732,44.843947988397126,,-0.3303571774304729,2.767148905158043,-7.476865181922912,25000,25000,,
26,1385.1425656783588,215.03322068641404,,-0.3303571774304729,3.050851435661316,-8.558286700248718,26000,26000,,
27,151.50469368807543,262.7237060919173,,-0.3303571774304729,3.4756996088027954,-9.897484733581543,27000,27000,,
28,1527.332445528654,457.75207279977104,,-0.3303571774304729,3.714066082715988,-10.988284447669983,28000,28000,,
29,1638.2353295198252,653.0849414887929,,-0.3303571774304729,4.185011340856552,-12.871126247406005,29000,29000,,
30,1558.6459687276736,843.9915792753347,1230.8455961724314,1230.8455961724314,4.721835474252701,-15.072204317092895,30000,30000,,
31,1751.6629812168387,1036.423639251583,,1230.8455961724314,5.225333857536316,-17.182846603393553,31000,31000,,
32,559.4157566485873,1020.1488833769079,,1230.8455961724314,5.674939968109131,-19.145410121917724,32000,32000,,
33,-174.32315022524247,1022.5753480488474,,1230.8455961724314,5.668630453109741,-19.746670288085937,33000,33000,,
34,1660.5734862377378,1042.978216159048,,1230.8455961724314,5.860453367948532,-20.81608522415161,34000,34000,,
35,1803.5340911051298,1186.1724168125638,,1230.8455961724314,6.519986811876297,-22.858571224212646,35000,35000,,
36,1263.8483829011252,1174.0429985348405,,1230.8455961724314,7.083417747974396,-24.871807163238525,36000,36000,,
37,1614.2573466681424,1320.3182638328472,,1230.8455961724314,7.444151718616485,-26.543491855621337,37000,37000,,
38,2020.1279573697022,1369.5978150169522,,1230.8455961724314,8.20011603975296,-28.86786358642578,38000,38000,,
39,1962.1617618152577,1401.9904582464953,,1230.8455961724314,8.357500933170318,-30.73530540084839,39000,39000,,
40,1974.20229773908,1443.546091147636,1921.922231254701,1921.922231254701,9.27280831861496,-32.93826712417602,40000,40000,,
41,1962.600779778374,1464.6398710037895,,1921.922231254701,9.94709993648529,-35.34562135696411,41000,41000,,
42,2082.205102370715,1616.9188055760021,,1921.922231254701,10.70629905796051,-37.29858786392212,42000,42000,,
43,2067.7983279515543,1841.130953393682,,1921.922231254701,11.31002473449707,-39.31223020172119,43000,43000,,
44,2134.376944054996,1888.5112991754074,,1921.922231254701,11.363581450462341,-41.726001670837405,44000,44000,,
45,2205.546481004662,1928.712538165361,,1921.922231254701,12.777371302127838,-43.95876985931397,45000,45000,,
46,2062.0996840273533,2008.5376682779838,,1921.922231254701,12.579896057128906,-46.403041458129884,46000,46000,,
47,2447.9090952789447,2091.9028431390643,,1921.922231254701,13.889286077022552,-48.364807777404785,47000,47000,,
48,2131.473953167402,2103.037442718834,,1921.922231254701,14.288542673587799,-51.10660799407959,48000,48000,,
49,2425.966564134148,2149.417922950723,,1921.922231254701,14.593277768611909,-53.21300498199463,49000,49000,,
50,2252.8479427207635,2177.2824874488915,1694.3878337854546,1921.922231254701,16.35709451675415,-55.578749725341794,50000,50000,,
51,2587.60987884652,2239.783397355706,,1921.922231254701,17.193803560733794,-57.73023419952393,51000,51000,,
52,2668.9886280324677,2298.461749921881,,1921.922231254701,18.61801117992401,-60.04215042114258,52000,52000,,
53,2304.5797469932695,2322.139891826053,,1921.922231254701,20.148317671775818,-62.2249214553833,53000,53000,,
54,2516.524512992668,2360.3546487198196,,1921.922231254701,19.132454394340517,-64.83485528564454,54000,54000,,
55,2678.462610464283,2407.646261665782,,1921.922231254701,21.1836706867218,-66.98982872009277,55000,55000,,
56,305.57737844330984,2231.994031107378,,1921.922231254701,21.455443878173828,-68.68159948730468,56000,56000,,
57,109.21875588048445,1998.124997167532,,1921.922231254701,22.43488581752777,-68.9194531326294,57000,57000,,
58,2688.4243326874894,2053.82003511954,,1921.922231254701,20.77985786342621,-69.90296528625488,58000,58000,,
59,162.90952025309753,1827.5143307314356,,1921.922231254701,22.29189055633545,-71.33236281585694,59000,59000,,
60,2573.2829280525384,1859.5578292646126,2934.2085711734458,2934.2085711734458,24.615367013931273,-72.2906824874878,60000,60000,,
61,2773.070483708398,1878.1038897508006,,2934.2085711734458,24.13403518486023,-74.2631449584961,61000,61000,,
62,2541.862881987132,1865.391315146267,,2934.2085711734458,25.64209553337097,-76.4139864807129,62000,62000,,
63,2644.235931847153,1899.3569336316552,,2934.2085711734458,26.518115835189818,-78.41823820495605,63000,63000,,
64,2711.0003780533852,1918.804520137727,,2934.2085711734458,26.78997643661499,-80.41289891052246,64000,64000,,
65,2817.778281233572,1932.736087214656,,2934.2085711734458,28.513544154167175,-82.36541320800781,65000,65000,,
66,3263.8417652741173,2228.5625258977366,,2934.2085711734458,30.63866878128052,-84.48345285034179,66000,66000,,
67,2978.8634769515293,2515.5269980048415,,2934.2085711734458,31.674833212852477,-86.60317239379883,67000,67000,,
68,2834.028040570604,2530.0873687931526,,2934.2085711734458,31.551448563575743,-88.80726905822753,68000,68000,,
69,2914.8502934063936,2805.2814461084827,,2934.2085711734458,30.13891614627838,-91.09265414428711,69000,69000,,
70,2832.4352571806903,2831.1966790212973,3132.308830128999,3132.308830128999,33.68242197418213,-93.00445738220215,70000,70000,,
71,3071.494536908194,2861.039084341277,,3132.308830128999,36.14763012981415,-95.23747760009766,71000,71000,,
72,3326.9753159222487,2939.550327734789,,3132.308830128999,36.186164548873904,-97.13557421875,72000,72000,,
73,3089.1474800365213,2984.0414825537255,,3132.308830128999,36.76727864074707,-98.79689125061036,73000,73000,,
74,2974.693608401937,3010.410805588581,,3132.308830128999,36.54696837329865,-101.285929397583,74000,74000,,
75,2978.68207335947,3026.50118480117,,3132.308830128999,37.77814814186096,-103.38454054260254,75000,75000,,
76,3485.4776317260494,3048.664771446364,,3132.308830128999,40.233232893943786,-105.61392233276368,76000,76000,,
77,3376.352538905982,3088.4136776418095,,3132.308830128999,43.00813624572754,-107.46875158691407,77000,77000,,
78,3053.9154156267477,3110.402415147423,,3132.308830128999,41.19578901290893,-109.75594061279297,78000,78000,,
79,2879.0730766566644,3106.8246934724502,,3132.308830128999,43.65522378540039,-111.93061587524414,79000,79000,,
80,3364.3952610503184,3160.0206938594133,3584.9095726636574,3584.9095726636574,47.71565986251831,-113.88777009582519,80000,80000,,
81,3369.9286637913183,3189.8641065477254,,3584.9095726636574,45.41421976470947,-115.85754359436035,81000,81000,,
82,3327.1535130212874,3189.88192625763,,3584.9095726636574,44.00810988235474,-118.14935504150391,82000,82000,,
83,3568.332238312818,3237.800402085259,,3584.9095726636574,50.337580549240116,-119.90273362731934,83000,83000,,
84,1110.8253386587687,3051.4135751109425,,3584.9095726636574,48.7494668674469,-121.47404595947266,84000,84000,,
85,3664.527880196821,3119.998155794677,,3584.9095726636574,53.046686393737794,-122.65122668457032,85000,85000,,
86,3393.8713919033357,3110.8375318124063,,3584.9095726636574,53.63578270530701,-124.88585369873047,86000,86000,,
87,3532.4973043230193,3126.45200835411,,3584.9095726636574,52.96283019065857,-126.66869677734375,87000,87000,,
88,3573.3373336815994,3178.3942001595956,,3584.9095726636574,54.320663511276244,-128.9487331390381,88000,88000,,
89,3722.436370870795,3262.7305295810083,,3584.9095726636574,58.916278749465945,-130.8986735534668,89000,89000,,
90,3539.1793571808043,3280.2089391940563,3893.343901707949,3893.343901707949,55.77645262527466,-132.54673663330078,90000,90000,,
91,3858.7421497132927,3329.0902877862545,,3893.343901707949,61.731740005493165,-134.36162440490722,91000,91000,,
92,3259.1706374343016,3322.2920002275555,,3893.343901707949,59.183175773620604,-136.69725141906738,92000,92000,,
93,283.96208599377906,2993.8549849956516,,3893.343901707949,62.8910970954895,-137.49528538513184,93000,93000,,
94,3909.025912437004,3273.675042373475,,3893.343901707949,62.11050028419495,-138.20600244140624,94000,94000,,
95,3927.0410340030994,3299.9263577541033,,3893.343901707949,63.8418463306427,-139.8883227996826,95000,95000,,
96,3527.188282264853,3313.2580467902553,,3893.343901707949,66.90586164474487,-141.4543915863037,96000,96000,,
97,4145.5245297246365,3374.5607693304164,,3893.343901707949,62.59258690834045,-143.33117138671875,97000,97000,,
98,3621.3361389111637,3379.3606498533727,,3893.343901707949,72.09344385147095,-145.117381439209,98000,98000,,
99,3474.550941689275,3354.572106935221,,3893.343901707949,75.71808267021179,-146.54554248046875,99000,99000,,
100,3590.576124576516,3359.711783674792,3843.6692036201493,3893.343901707949,69.2277884426117,-148.6943153076172,100000,100000,,
