episode,reward,avg10,eval_reward,best_eval,critic_loss,actor_loss,steps,replay_size,grad_cosine,tick_vs_direct_mse
1,-42.969209087479896,-42.969209087479896,,,0.0,0.0,50,50,,
2,-39.493200409364334,-41.231204748422115,,,0.0,0.0,100,100,,
3,-52.40723540120949,-44.95654829935123,,,0.0,0.0,150,150,,
4,-40.28507570027557,-43.78868014958232,,,0.0,0.0,200,200,,
5,-42.49335348806723,-43.529614817279295,,,0.0,0.0,250,250,,
6,-38.110740365421286,-42.626469075302964,,,0.0,0.0,300,300,,
7,-37.48095737751206,-41.89139597561855,,,0.0,0.0,350,350,,
8,-47.98860132709121,-42.653546644552634,,,0.0,0.0,400,400,,
9,-42.47069092086345,-42.6332293419205,,,0.0,0.0,450,450,,
10,-43.61475429721465,-42.731381837449916,,,0.0,0.0,500,500,,
11,-37.45697862618131,-42.18015879132005,,,0.0,0.0,550,550,,
12,-43.564173837854,-42.587256134169024,,,0.0,0.0,600,600,,
13,-45.895541896672164,-41.9360867837153,,,0.0,0.0,650,650,,
14,-41.88745554195148,-42.09632476788288,,,0.0,0.0,700,700,,
15,-43.968025610538,-42.243791980129956,,,0.0,0.0,750,750,,
16,-43.678129318209464,-42.800530875408775,,,0.0,0.0,800,800,,
17,-41.365826645201615,-43.18901780217773,,,0.0,0.0,850,850,,
18,-41.72997156073642,-42.56315482554225,,,0.0,0.0,900,900,,
19,-41.507572640216104,-42.46684299747752,,,0.0,0.0,950,950,,
20,-38.27216194649624,-41.93258376240568,,,1.7839069366455078,0.0,1000,1000,,
21,-25.566951574082285,-40.743581057195776,,,0.8434858596324921,0.5339012962579727,1050,1050,,
22,-40.24034225731513,-40.4111978991419,,,0.5144202876091003,0.7618567442893982,1100,1100,,
23,-89.38203641950969,-44.75984735142565,,,0.4005232298374176,0.8705097222328186,1150,1150,,
24,-13.39971143715049,-41.911072940945544,,,0.32618803083896636,0.9554532909393311,1200,1200,,
25,-6.301855363733526,-38.144455916265095,,,0.25967870831489565,0.9384045195579529,1250,1250,,
26,-9.458716017689682,-34.722514586213116,,,0.18911876022815705,0.8750300168991089,1300,1300,,
27,-17.713591065107686,-32.35729102820372,,,0.12136206671595573,0.7954275965690613,1350,1350,,
28,-12.14410799117672,-29.398704671247753,,,0.07643320053815841,0.7265957069396972,1400,1400,,
29,-16.45424404240522,-26.893371811466665,,,0.05837152823805809,0.6764450478553772,1450,1450,,
30,-17.91094744781263,-24.857250361598307,,,0.04799408368766308,0.677920708656311,1500,1500,,
31,-17.108142190306108,-24.01136942322069,,,0.043181093521416185,0.6985011577606202,1550,1550,,
32,-11.469224630650766,-21.134257660554248,,,0.04265919420868158,0.7205905675888061,1600,1600,,
