-0.149952561 0.988693178 -0.122243121 1.09582419 -0.18535163
-0.188567042 0.982060313 0.783650398 -0.244486241 -0.197551737
-0.260827184 0.965385497 1.48352265 1.43439168 -0.224260926
-0.375573009 0.9267928 2.42272067 0.789472116 -0.275798665
-0.519979358 0.854178846 3.2362361 -1.62329061 -0.345892816
-0.665747821 0.746176779 3.6333766 1.90248941 -0.413156586
-0.814817727 0.579717219 4.47838259 1.04455881 -0.523329762
-0.934163392 0.356845498 5.06985426 1.14425722 -0.642608464
-0.996003568 0.0893133581 5.50912714 -1.48754547 -0.772058889
-0.984161437 -0.177274585 5.35298014 -0.198456248 -0.727942338
-0.905716538 -0.423883915 5.19025564 -0.516807903 -0.625313738
-0.779160857 -0.626824021 4.79482174 1.70705996 -0.523365266
-0.61649859 -0.787356019 4.58076286 0.57546048 -0.44339194
-0.444359899 -0.895848334 4.07656479 1.29104645 -0.36184409
-0.276877314 -0.960905254 3.5983355 -0.226343205 -0.295144356
-0.13791658 -0.990443826 2.84370494 -1.09104511 -0.233191455
-0.0414849147 -0.99913913 1.93721533 0.218339148 -0.185926074
0.0195325259 -0.999809206 1.22061181 -1.74473098 -0.159903059
0.0299815368 -0.999550462 0.209045261 1.31052469 -0.14876149
0.0127837397 -0.999918282 -0.344038874 0.526657596 -0.152469736
-0.0379557386 -0.999279439 -1.01497889 1.03235096 -0.168262283
-0.1181674 -0.992993712 -1.60958588 -0.581896127 -0.194559291
-0.238212481 -0.971213043 -2.44161558 1.8827921 -0.24253614
-0.375471324 -0.926833987 -2.88760662 1.57248449 -0.291316783
