-0.149952561 0.988693178 -0.122243121 0.547912097
-0.188567042 0.982060313 0.783650398 -0.12224312
-0.260827184 0.965385497 1.48352265 0.71719584
-0.375573009 0.9267928 2.42272067 0.394736058
-0.519979358 0.854178846 3.2362361 -0.811645304
-0.665747821 0.746176779 3.6333766 0.951244703
-0.814817727 0.579717219 4.47838259 0.522279404
-0.934163392 0.356845498 5.06985426 0.572128611
-0.996003568 0.0893133581 5.50912714 -0.743772735
-0.984161437 -0.177274585 5.35298014 -0.0992281242
-0.905716538 -0.423883915 5.19025564 -0.258403952
-0.779160857 -0.626824021 4.79482174 0.853529978
-0.61649859 -0.787356019 4.58076286 0.28773024
-0.444359899 -0.895848334 4.07656479 0.645523227
-0.276877314 -0.960905254 3.5983355 -0.113171602
-0.13791658 -0.990443826 2.84370494 -0.545522556
-0.0414849147 -0.99913913 1.93721533 0.109169574
0.0195325259 -0.999809206 1.22061181 -0.872365488
0.0299815368 -0.999550462 0.209045261 0.655262344
0.0127837397 -0.999918282 -0.344038874 0.263328798
-0.0379557386 -0.999279439 -1.01497889 0.51617548
-0.1181674 -0.992993712 -1.60958588 -0.290948064
-0.238212481 -0.971213043 -2.44161558 0.941396049
-0.375471324 -0.926833987 -2.88760662 0.786242243
